gt,pred
0.0,4.1157335e-09
0.0,1.1555211e-09
0.0,3.9696996e-12
0.0,9.448261e-05
0.0,0.024657585
1.0,0.89638823
0.0,0.35793152
0.0,0.000120918914
0.0,8.182843e-07
0.0,1.608485e-05
0.0,0.00024142172
0.0,1.4515078e-14
0.0,1.7685546e-05
0.0,1.8747894e-11
0.0,0.0004123517
0.0,2.3864379e-05
0.0,0.0035729988
0.0,2.587686e-22
0.0,0.095282346
0.0,2.6899088e-12
0.0,0.024707587
0.0,0.012734196
0.0,0.00048569206
1.0,0.5576101
0.0,1.9820432e-05
0.0,0.00877825
0.0,0.13293242
0.0,0.008263169
0.0,0.0012739148
0.0,0.00026108226
0.0,0.00015398042
0.0,0.0031328443
0.0,0.011454183
0.0,0.0025985923
0.0,0.00021730829
0.0,1.0718494e-05
0.0,0.70553523
0.0,0.00024834517
0.0,0.04584212
1.0,0.93459773
0.0,0.0002849015
0.0,0.001262731
0.0,0.0013024793
0.0,4.7258853e-11
0.0,0.00021347518
0.0,0.00011572396
0.0,0.00025433992
0.0,2.2422853e-06
1.0,0.98810893
0.0,7.281919e-05
0.0,0.00036480007
0.0,0.005595969
0.0,0.00016646332
1.0,0.97819215
0.0,1.3294364e-05
1.0,0.96377355
0.0,8.805516e-06
0.0,0.008907161
0.0,3.5881342e-10
0.0,4.4947474e-10
0.0,0.006053234
0.0,1.0214257e-09
0.0,0.00092910515
0.0,0.00526048
0.0,3.8984804e-06
1.0,0.98543143
0.0,0.001155412
0.0,4.3778903e-10
0.0,0.35558304
0.0,3.5507153e-05
0.0,0.0014713871
0.0,0.0009997693
0.0,0.00012571288
1.0,0.96148723
0.0,1.1162619e-07
0.0,0.011353116
0.0,0.0004742757
0.0,0.5572535
0.0,0.019862285
0.0,0.00049828243
0.0,0.00019472047
1.0,0.9852879
1.0,0.8934297
1.0,0.90085346
0.0,4.9614744e-05
0.0,0.00012547564
0.0,0.0012079868
0.0,7.638742e-05
0.0,0.00037337554
1.0,0.3242966
0.0,1.7215176e-06
0.0,0.0001847731
0.0,0.00010927597
0.0,5.6511188e-05
0.0,0.00014461727
0.0,0.00041562764
0.0,1.0409732e-06
0.0,0.012979381
0.0,0.43679065
1.0,0.9382104
0.0,2.3640852e-05
1.0,0.93832284
0.0,0.0010477843
0.0,0.012671236
1.0,0.9862824
0.0,0.043817304
0.0,0.57167906
0.0,0.010463723
0.0,1.676971e-18
0.0,4.639028e-06
0.0,0.0010838562
0.0,0.00020800224
0.0,0.0017406191
0.0,1.9843828e-05
1.0,0.98803127
0.0,5.5771045e-05
0.0,0.020597091
0.0,0.00045202035
0.0,0.00041747015
0.0,0.0008340946
0.0,0.05333004
0.0,0.00021076907
0.0,0.0006903322
0.0,3.5607597e-11
0.0,6.5422646e-06
0.0,3.2672567e-06
0.0,7.264846e-08
0.0,0.00082635327
0.0,0.010071015
0.0,0.0008831367
1.0,0.9869162
0.0,0.0034610953
0.0,0.0008364513
0.0,0.0016960389
0.0,0.8760059
0.0,7.8674657e-07
0.0,0.00042175842
0.0,0.00038080424
0.0,0.0022774509
0.0,0.00319074
0.0,0.0059273206
0.0,0.00022519055
0.0,0.00015369953
1.0,0.9799243
0.0,8.2107285e-08
1.0,0.98553
0.0,0.01404679
0.0,6.9255715e-05
1.0,0.97841704
1.0,0.6377667
0.0,0.0017453998
0.0,0.00014158108
0.0,0.0009646423
0.0,0.0043026367
0.0,0.0022948934
0.0,0.00030680562
0.0,2.4441035e-05
0.0,0.002403802
0.0,0.0003402557
0.0,0.08093398
0.0,7.766887e-15
0.0,0.0015072944
0.0,0.022956714
0.0,0.00010497173
0.0,8.809229e-06
0.0,0.00021949582
0.0,6.94791e-06
0.0,0.0005748289
0.0,0.00039035745
1.0,0.7624032
1.0,0.956494
0.0,0.00045899668
0.0,9.9618164e-15
1.0,0.98149705
0.0,4.850788e-12
0.0,0.00015981513
0.0,0.05191021
0.0,0.011754307
0.0,0.0010470698
0.0,2.0582514e-05
0.0,6.9063376e-06
0.0,0.00015588348
0.0,7.4635395e-06
