gt,pred
0.0,2.2359676e-05
1.0,0.9873848
0.0,0.00011495386
0.0,0.007508377
0.0,0.0135054095
0.0,8.0002515e-05
1.0,0.97820675
0.0,9.754579e-07
1.0,0.92544836
0.0,6.031574e-06
0.0,0.4556617
0.0,0.00020880625
0.0,0.00035161723
0.0,0.020870179
0.0,4.716424e-10
0.0,0.000533788
0.0,0.0016084778
0.0,1.47228975e-05
1.0,0.9843088
0.0,0.0020071398
0.0,9.237256e-09
0.0,0.8036046
0.0,1.9853502e-05
0.0,0.0031560233
0.0,0.0020371743
0.0,7.876776e-05
1.0,0.92963564
0.0,1.3225505e-07
0.0,0.092015825
0.0,0.00060632906
0.0,0.6471584
0.0,4.6091205e-05
0.0,0.00012369452
0.0,0.00023500269
1.0,0.9817369
1.0,0.80880934
1.0,0.9109818
0.0,0.0022107312
0.0,0.00018071507
0.0,0.00057949487
0.0,0.0014931401
0.0,0.003104724
1.0,0.38839543
0.0,4.1928865e-07
0.0,0.00016643998
0.0,9.92549e-05
0.0,2.3780096e-05
0.0,0.00025197834
0.0,6.590391e-05
0.0,1.069958e-05
0.0,0.022759825
0.0,0.15534975
1.0,0.8964692
0.0,4.1360516e-05
1.0,0.85250956
0.0,0.0015248582
0.0,0.01850126
1.0,0.98289603
0.0,0.048578978
0.0,0.6105374
0.0,0.0025879485
0.0,2.8715956e-13
0.0,5.505133e-06
0.0,0.00080728554
0.0,0.0008210513
0.0,0.001370499
0.0,1.1225941e-05
1.0,0.98260283
0.0,0.011504829
0.0,6.860352e-05
0.0,0.0005277701
0.0,0.0006657962
0.0,0.0013957025
0.0,0.071583435
0.0,0.00017560973
0.0,0.0013197722
0.0,2.6024056e-11
0.0,1.5902272e-06
0.0,0.00033315612
0.0,2.1514498e-07
0.0,0.0012440747
0.0,0.0025106382
0.0,0.0014071265
1.0,0.9835501
0.0,0.0008683007
0.0,0.00067561166
0.0,0.0023210142
0.0,0.6548853
0.0,7.7308357e-07
0.0,0.00024157114
0.0,0.0011811364
0.0,0.0023708504
0.0,0.0030206908
0.0,0.022849947
0.0,0.0010501263
0.0,0.0004693544
1.0,0.98017085
0.0,3.7891713e-08
1.0,0.9827414
0.0,0.048870035
0.0,8.250613e-05
1.0,0.9700881
1.0,0.66171384
0.0,0.0020685093
0.0,0.0028134955
0.0,0.00017146245
0.0,0.009321476
0.0,0.0056795185
0.0,9.4770556e-05
0.0,6.7192894e-05
0.0,0.0014926944
0.0,0.0002391648
0.0,0.10037704
0.0,7.524603e-13
0.0,0.0021785435
0.0,0.023280064
0.0,5.7648518e-05
0.0,9.582919e-07
0.0,4.2732878e-05
0.0,1.0432269e-05
0.0,0.00013726915
0.0,0.0010137449
1.0,0.5749311
1.0,0.94143736
0.0,0.00069913256
0.0,1.15804456e-14
1.0,0.9663538
0.0,5.681337e-11
0.0,0.0066191354
0.0,0.028271142
0.0,0.15946466
0.0,0.0013197598
0.0,3.48785e-05
0.0,1.2183156e-05
0.0,0.0001337521
0.0,1.3726116e-05
0.0,0.00024158633
0.0,1.33163785e-05
0.0,0.02730278
0.0,0.00024253302
0.0,0.0028667059
0.0,0.00025866157
0.0,0.00052787125
1.0,0.9628026
1.0,0.9759065
1.0,0.9711382
1.0,0.9725437
1.0,0.95855
0.0,0.09843546
0.0,3.408169e-07
0.0,0.887101
1.0,0.8694004
0.0,0.027412267
0.0,0.0012182711
0.0,1.2213042e-10
1.0,0.9806325
1.0,0.9452525
0.0,4.6452037e-06
0.0,2.9732385e-06
1.0,0.7674033
0.0,0.0014295486
0.0,0.010324084
0.0,0.007832213
0.0,2.541834e-08
0.0,0.41087314
0.0,0.0055243582
0.0,0.000673653
0.0,1.5840933e-05
0.0,3.789305e-06
0.0,0.00067755283
0.0,0.036292426
0.0,8.104761e-10
0.0,7.189917e-07
0.0,2.3171405e-07
0.0,1.523595e-10
0.0,5.7089248e-05
0.0,0.011212938
1.0,0.69359595
0.0,2.3718224e-08
0.0,0.0021695143
0.0,7.6849656e-09
0.0,1.3063303e-06
0.0,2.4714157e-06
1.0,0.56226254
0.0,0.008102877
0.0,2.5806914e-05
0.0,3.4535675e-05
0.0,8.848144e-05
0.0,3.6667854e-05
0.0,4.2782167e-06
0.0,5.7653187e-06
0.0,0.0027462633
0.0,0.6631666
1.0,0.95987624
0.0,0.5548111
0.0,6.318188e-13
0.0,6.8652355e-07
0.0,4.184313e-05
0.0,3.696531e-07
0.0,0.00044896823
0.0,2.1092135e-05
0.0,0.0025935634
0.0,2.9101208e-09
0.0,9.2048374e-10
0.0,0.00206652
0.0,0.3407692
0.0,2.4160807e-08
0.0,3.8450075e-14
0.0,0.00050098466
1.0,0.9740208
1.0,0.98377347
0.0,0.025822125
0.0,0.00014968505
0.0,0.0002269068
1.0,0.9304613
0.0,5.703141e-07
0.0,0.015920686
0.0,1.1821635e-09
0.0,0.00088581
1.0,0.923542
0.0,0.002619254
0.0,0.00034684714
1.0,0.9625053
0.0,0.0010502237
0.0,0.020298557
0.0,3.5748585e-08
0.0,0.0010917864
0.0,0.00013350541
1.0,0.9269178
1.0,0.9509324
1.0,0.05213223
1.0,0.9295197
0.0,5.380504e-05
0.0,0.00056388654
0.0,3.1300588e-06
0.0,6.434726e-07
0.0,0.0009624651
0.0,4.987683e-07
0.0,0.00052767707
